ratingScore,reviewTitle
4,it is what it is.
4,Still holding strong
4,Good laptop
4,"Light, Portable, Great Battery Life, Fast"
4,"Good laptop, Bad shipping"
4,"A bluetooth issue, solved. Otherwise it's all good so far!"
4,PLEASE READ BEFORE DOWNLOADING APPS/INSTALLING GOOGLE CHROME
4,Operates very well.  Quick setup with Mircrosoft 11 that does all the work.
4,Buen equipo
4,Does not have a backlit keyboard
5,Better with a couple of upgrades but works OK out of the box
5,Excellent Laptop!! HIGHLY Recommend!!
5,This is NOT a Budget Laptop!
5,"Easily 5 stars for the range of laptops it's supposed to be in. * Update, still 5 stars. *"
5,perfect depending on needs
5,Really solid laptop for the price
5,Great laptop but ram is ordered on motherboard
5,Love it - a pleasure to use
5,Perfect computer for light workloads.
5,"A Laptop So Nice, We Bought It Twice"
2,Not as advertised
2,"laptop hinge breaks down after 1 year. please provide a refund, manufacturer.  $150 repair cost"
2,get memory card...junky recharging cord on left side of lap top
2,NOT UPGRADEABLE!!!!
2,I don't know.
2,incorrect information about laptop - no backlit keyboard.
2,meh
2,Mouse pad
2,NO BACK LIT KEYBOARD
2,junk
3,Falls short of it's capabilities
3,"overall solid pc, specs a bit misleading"
3,Sometimes doesn't start
3,The battery life is not as discribed!
3,I am not satisfied with this product
3,Not sure yet
3,No tiene teclado retroiluminado como dice en la descripción.
3,Plastic Casing is Terrible
3,Having trouble making this a basic gaming computer
3,Good for daily use
1,I really don't know who this is supposed to be made for
1,Well that was a disappointment
1,Camera stopped functioning in less than 3 months. Gave up on entire device in 3 years.
1,Support and practices justify the rating
1,Defective out of the box.  Loose power connector.  Trash.
1,Multiple problems about this laptop. Read this before buying or you'll regret it
1,Do NOT buy this!
1,Doesn’t Last
1,Advertised a having a backlit keyboard.  It has NO SUCH THING!
1,What a piece of crap.
5,Very impressive. Good quality
5,Excellent!
5,Easy to upgrade when it comes working!
5,"Best $300 laptop, period! - get this Acer!"
5,Great for the price
5,Terrific value
5,This thing is Awesome!
5,Good laptop
5,GOOD FOR REGULAR USE
5,Bargain
4,Great Budget Laptop
4,Good laptop except...
4,Worked fine out of the box. Good value!
4,Amazing quality
4,"Good budget laptop for school, YouTube, etc. and some light gaming"
4,Good for the price
4,Ultra low price for excellent back up PC
