"country","countryCode","date","filterByRating","isVerified","position","product/listPrice","product/price/currency","product/price/value","productAsin","ratingScore","reviewCategoryUrl","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewReaction","reviewTitle","reviewUrl","reviewedIn","totalCategoryRatings","totalCategoryReviews","variant"
"United States",,"2023-02-15","fourStar","true","1",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","well i'm using it to write this review. so there's that. lol.bought this in march of 2020. one thing i never understood is when companies want you to write a review immediately after purchasing an item, and you haven't even had the opportunity to really use it, or put it through the paces.so any review you give would be a false one. cause if the item doesn't last was it worth it?so here we are. almost three years later. and yes it does work.one thing that i found rather annoying is that it has nothing on it.we live in this world of apps and more. this wasn't my first computer purchase. so imagine my chagrin when i opened it up to a fully blank screen with zero programs on it.we live in a world where these companies are about giving you less and less for more money. akin to going to the hairstylist, they want to charge you extra for washing your hair, which was an part of the package, AND a requirement in getting your hair done.the same with this. now they want you to pay for the computer PLUS all of the apps separately. and they call it progress. you'd think with that being the case it would be faster. nope.you have to constantly reboot it just to get the web browsers to work properly. as you're using it the screens will change and fade out on you to safe mode. sometimes it freezes and you don't know why.the constant notifications about microsoft updates are a nuisance.does it still work like it did when i bought it? yes it does. but i have to be mindful of programs i attempt to use on it. because i'll get an error message that there isn't enough storage to run the programs on the hard drive. smh.this claimed to have the ability to use multiple applications and do split screens and more. well you can have the apps up at the same time. but good luck passing back and forth between them. i can't use anything from the adobe suite. because there's not enough ram.the few programs i loaded on it all have issues of usage and it tells of space and storage issues. ""slowing it down"" when the apps are open.and that microsoft store is not it. that's the biggest issue of all. you're pretty confined to the usage of ""apps' that they offer UNLESS you download a whole other program that basically works on top of the microsoft. which is a nuisance and yet another reason to not purchase this.if this is the way of life of computer purchases where you have to download a google app just to put programs on a computer that you'll use. when they USED to work well with and for microsoft years ago... just nope. why should we have to deal with these complications.before it was about making a cell phone like a computer. but now they're trying to make computers like cell phones. and this is one place where it just ain't premium and not working.i hate it. the programs i need and use i can't take advantage of. the stuff i don't want or need are here. they're good for pushing microsoft programs on you. but if you're in this world you know that microsoft doesn't excel at all types of needs involving a computer.  so be aware when you're buying this if you purchase it.also it's so old now that i would say it's not even worth the money they're charging for it. upgrade yourself and get something that will be worth your money.yes they have chromebooks where work from a google mainframe. but they're no better either. because they don't allow you to add on whole programs that you may need either. it's like you can't seem to win these days when buying a computer.just be aware when you're making a purchase. pay attention to the ram. pay attention to the storage space. the number of usb outlets. those do matter. this has three. and i use them all.oh one other thing. last year in 2022 the cord malfunctioned and stopped working to charge it up. so i had to purchase a replacement. which doesn't even fit well. but it does charge it up. so there's that i just have to be mindful if i'm plugged in and the new plug doesn't drop out.so yes it still works. the battery life, not so good roughly a good 2-3 hours of usage out of it, even this many years after the fact. but then i rarely use it without the plug, because i've found that most laptops don't work as well without a plug. and all claim to have a long battery life, until you put them to the test.not being plugged in you don't get full usage of the applications as you'd like. everything slows down. something i don't like. even the web browsers tend to struggle more when it's not plugged in.the sound from the speakers is midrange. not great but not poor. there are things i'd prefer to be louder. but you deal. it's not a touchscreen. but i didn't need it to be one.i paid $343 for this back in 2020. that it's now a few dollars more if it were purchased new today, AND IT'S OLD AND OUTDATED says much to me. this thing needs to be way cheaper given what you get and don't get. it's basically two steps from being obsolete.screen resolution is okay. and to be honest. i bought an acer. cause i've purchased from the name brands that charge more and received a mediocre product. so i figured if i were to get something that was not premium, i didn't want to pay a premium price for it.in the end people are going to spend their money how they choose. so if you want it do it. get it. but i wouldn't.",,,,,,,,"178 people found this helpful","it is what it is.","https://www.amazon.com/gp/customer-reviews/R3UAXUXMK8QFAE?ASIN=B0BS4BP8FB","Reviewed in the United States on February 15, 2023","5705","865","Style: R3 3200U"
"United States",,"2023-12-10","fourStar","true","2",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","purchased the Acer Aspire 5 Slim laptop, and overall, I'm thrilled with my purchase. The affordable price point was a major selling point, and the laptop has exceeded my expectations in many ways.**Pros:**1. **Affordable Price:** One of the standout features of this laptop is its budget-friendly price. It's a fantastic option for those looking for solid performance without breaking the bank.2. **Sleek Design:** The slim and sleek design of the Acer Aspire 5 is aesthetically pleasing, making it a stylish choice for both work and leisure.3. **Decent Performance:** For everyday tasks and light productivity, this laptop performs admirably. I've been able to multitask, browse the internet, and use various applications without any noticeable lag.4. **Good Battery Life:** The battery life has been impressive, providing ample usage time on a single charge. This makes it convenient for on-the-go use.**Cons:**1. **Limited RAM:** The laptop's 4GB RAM may be a limiting factor for those who require more memory for demanding tasks. Upgrading the RAM would have been a welcome option, but unfortunately, it's not possible.2. **Non-Upgradable GPU:** Another drawback is the inability to upgrade the GPU. While it handles basic graphics tasks well, it might not meet the needs of users with more demanding graphical requirements.In conclusion, the Acer Aspire 5 Slim offers excellent value for its price. It's a reliable option for everyday use, but if you have more intensive computing needs, the limitations in RAM and GPU should be taken into consideration. Despite these drawbacks, I'm overall satisfied with my purchase and would recommend it to others looking for a budget-friendly laptop.",,,,,,,,"One person found this helpful","Still holding strong","https://www.amazon.com/gp/customer-reviews/R2E5ZGT7VSY9WS?ASIN=B0BS4BP8FB","Reviewed in the United States on December 10, 2023","5705","865","Style: R3 3200U"
"United States",,"2023-11-26","fourStar","true","3",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","***UPDATE* I apologize, I thought I had purchased a laptop with touchscreen but I forgot I made a very last minute decision not to. This laptop never advertised a touchscreen so there was no misleading information.*** This is a beautiful laptop, easy to use with a big, gorgeous screen. The updates were actually fairly quick, it connected to the internet with no problems. The only real thing I dislike is the fact that I got this laptop for school, and it came with Microsoft preinstalled, but I can't use it. It's been very frustrating trying to open it and get it installed especially since I have a subscription. I can only use the browser version, it's a bit counterproductive for convenience. I've been trying to troubleshoot and install it for over an hour now. On another note, the sound quality is good but the volume is pretty average even on max volume so using headphones would be best. Video is flawless and the browser is great! It holds a decent charge for at least 8 hours and the fan is so quiet, I literally didn't notice it. It's easy to navigate and use and basic user friendly. I say basic because I know there are a lot of people who like to really dig into their electronics and boost and enhance their stuff but I'm not one of those super tech savvy people. I love the AI responses even though I didn't think I would. Overall, it seems to be a good purchase.",,,,,,,,"One person found this helpful","Good laptop","https://www.amazon.com/gp/customer-reviews/R10WJNPMI35CPK?ASIN=B0BS4BP8FB","Reviewed in the United States on November 26, 2023","5705","865","Style: R3 7320U"
"United States",,"2023-12-11","fourStar","true","4",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","I was looking for a light, portable machine to use for productivity, school and work and this laptop fits the bill. The build is not bad, its an unassuming design and blends in great. The screen has an anti glare coating and gets bright enough to use near sources of light like next to a window on a bright day. The keyboard is decent, doesnt flex much if at all. The speakers are absolutely atrocious, they are downward firing and only work when on a flat surface like a table, otherwise, you cant hear anything. Connectivity is good, and it boots up very fast and doesnt lag around while multitasking or browsing. A great buy if youre looking for a media consumption device, a portable student laptop or a secondary machine to take with you to get work done.",,,,,,,,"","Light, Portable, Great Battery Life, Fast","https://www.amazon.com/gp/customer-reviews/R2RKI70VS1XZV5?ASIN=B0BS4BP8FB","Reviewed in the United States on December 11, 2023","5705","865","Style: R5 7520U / 14"""
"United States",,"2023-12-04","fourStar","true","5",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","I’ve had this laptop for a few weeks now and its been great so far! Works just fine, plays games decently, and I can get my work done. There have been a few minor glitches that I was able to resolve with turning it off and on again, I’m not sure if those were the laptop’s fault or a browser/program’s fault.My main complaint was the time it took to ship. I have prime and it took two weeks past the original date to arrive, and customer service was really unhelpful. Again, unsure if this is a amazon problem or a laptop problem, I usually don’t have issues like this with amazon products so im not sure. Overall, its a good laptop; just be wary of shipping times if you need it asap.",,,,,,,,"","Good laptop, Bad shipping","https://www.amazon.com/gp/customer-reviews/RUISIUF6TMVUU?ASIN=B0BS4BP8FB","Reviewed in the United States on December 4, 2023","5705","865","Style: R5 7520U / 14"""
"United States",,"2023-11-04","fourStar","true","6",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","I almost never left any review. But thought this one may be a little be helpful if any one meeds it.Purchased it 2 weeks ago. Everything is fine. Except a bluetooth issue, which is fixed now. I'm not sure if it's because of this model, this brand or it does generally  happen to other brands. Mouse connected via bluetooth will freeze if stop moving. I tried two same brand mouses, and one other bran, they all have the same issue. Luckily I found a method to fix it very easily from Youtube channel ""All laptop solution"". Just simply run ""dxdaig"" to find the laptop model, download and install the Bluetooth Drive on Acer, restart your laptop, then it should be work.Other then that, it works perfectly to me as a WFH gear. Very fast boot time, smooth while using, very quiet, and no overheating issue. Most of the time I have 10-20 tablets open, Word, Excel, PDF, Teamviewer, instant messaging app ruining at the same time. Very rare to hear the fan on. Pretty like it so far. Hopefully I don't need to come back to update the with any problem.",,,,,,,,"2 people found this helpful","A bluetooth issue, solved. Otherwise it's all good so far!","https://www.amazon.com/gp/customer-reviews/RHSYXN9ZSW5MV?ASIN=B0BS4BP8FB","Reviewed in the United States on November 4, 2023","5705","865","Style: R3 7320U"
"United States",,"2023-11-20","fourStar","true","7",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","This computer is frustrating to use at first. Firstly don't give Microsoft any permissions. I'm not trying to fear monger, they really just don't need your personal information at all and you have no reason to give it to them.Moving on, trying to download chrome took way longer than needed and the computer itself made no effort to try to help, in fact it takes you to the wrong places.What you need to do first is press the windows logo key, and type ""Switch out of S Mode"" and then switch out. This will allow you to download apps that are not on the Microsoft Store (most things you'll download WON'T be in the Microsoft store btw)Other than that, sure the computer is running smoothly, whatever",,,,,,,,"3 people found this helpful","PLEASE READ BEFORE DOWNLOADING APPS/INSTALLING GOOGLE CHROME","https://www.amazon.com/gp/customer-reviews/R2HFKW536TSDMQ?ASIN=B0BS4BP8FB","Reviewed in the United States on November 20, 2023","5705","865","Style: R3 3200U"
"United States",,"2023-12-03","fourStar","true","8",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","Had a problem with charging cable insert into the computer.  The cable end was smaller than what was needed. Fortunately I have my Old Acer (6yrs old) this old cable connected successfully to charge the new Acer.  I notice very slight difference between the two ends that insert into the computer. The old cable end appears to have a slight ridge near the end where the new one does not.  Circumference is slightly smaller on new tip.  Need to correct this ASAP.  Charge part is good, just the tip is NOT.",,,,,,,,"One person found this helpful","Operates very well.  Quick setup with Mircrosoft 11 that does all the work.","https://www.amazon.com/gp/customer-reviews/R2P7I7O8JJUI41?ASIN=B0BS4BP8FB","Reviewed in the United States on December 3, 2023","5705","865","Style: R3 7320U"
"United States",,"2023-12-07","fourStar","true","9",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","Portátil llegó como se describe en la publicación..!! Todo funciona perfectamente y tiene un acabado decente..!! Lo único que no me gustó fue que viene con la versión Windows 11 modo s, pero una rápida búsqueda por internet se desactiva rápido..!! Fácil de configurar y usar..!! Un punto muy negativo es la capacidad de expacion del portátil como las memorias ram ya que vienen soldadas al equipo..!!","https://m.media-amazon.com/images/I/715jvBmVA+L._SY88.jpg","https://m.media-amazon.com/images/I/71NqXU0aWqL._SY88.jpg","https://m.media-amazon.com/images/I/71olW+O7mrL._SY88.jpg","https://m.media-amazon.com/images/I/71qo553QDIL._SY88.jpg",,,,"","Buen equipo","https://www.amazon.com/gp/customer-reviews/R15MVEA6GZK65M?ASIN=B0BS4BP8FB","Reviewed in the United States on December 7, 2023","5705","865","Style: R3 7320U"
"United States",,"2023-12-10","fourStar","true","10",,"$","299.99","B0BS4BP8FB","4","https://www.amazon.com/product-reviews/B0BS4BP8FB?reviewerType=all_reviews&pageNumber=1&asin=B0BS4BP8FB&scope=reviewsAjax1&filterByStar=four_star&sortBy=helpful","So far I like it. Very fast compared to my old laptop. However, description says it has a backlit keyboard, which I wanted and was one of the reasons I bought it. It does not have this feature. Other than that, It suits my needs",,,,,,,,"","Does not have a backlit keyboard","https://www.amazon.com/gp/customer-reviews/R2XT2XKB405IH9?ASIN=B0BS4BP8FB","Reviewed in the United States on December 10, 2023","5705","865","Style: R3 7320U"
